"","brand","product","name","specific","lightness","hex","lightToDark","numbers","id"
"1780","Essence","Pretty Natural Hydrating Foundation","Neutral Suede","90",0.590196078431373,"#C89565",TRUE,90,79
"1781","Natasha Denona","Transformatte Pore Vanishing Matte Foundation",NA,"90N",0.63921568627451,"#CCA07A",TRUE,90,67
"1782","Bite Beauty","Changemaker Supercharged Micellar Foundation",NA,"M90",0.645098039215686,"#CC9D7D",TRUE,90,82
"1783","Natasha Denona","Foundation X+","N Dark","90",0.652941176470588,"#CCA681",TRUE,90,68
"1784","Natasha Denona","Face Glow Foundation","DW","90",0.382352941176471,"#916532",TRUE,90,84
"1785","Natasha Denona","Transformatte Pore Vanishing Matte Foundation",NA,"91NY",0.643137254901961,"#D1A177",TRUE,91,67
"1786","Natasha Denona","Foundation X+",NA,"91Ny",0.517647058823529,"#9D826B",TRUE,91,68
"1787","KVD Vegan Beauty","True Portrait Medium Coverage Shake Foundation","Deep","092",0.290196078431373,"#624432",TRUE,92,57
"1788","Catrice","True Skin Hydrating Foundation","Warm Spices","092",0.343137254901961,"#864929",TRUE,92,58
"1789","Clinique","Even Better Glow Light Reflecting Makeup Broad Spectrum SPF 15","Toasted Almond","WN 92",0.576470588235294,"#CA8B5C",NA,92,NA
"1790","Natasha Denona","Transformatte Pore Vanishing Matte Foundation",NA,"92W",0.462745098039216,"#A86F44",TRUE,92,67
"1791","Natasha Denona","Foundation X+","WNDeep","92",0.641176470588235,"#C69981",TRUE,92,68
"1792","Clinique","Even Better Refresh™ Hydrating and Repairing Foundation","CLINIQUE Even Better Refresh™ Hydrating and Repairing Foundation","WN 92",0.613725490196078,"#D78F62",NA,92,NA
"1793","Natasha Denona","Transformatte Pore Vanishing Matte Foundation",NA,"93R",0.476470588235294,"#A27251",TRUE,93,67
"1794","Natasha Denona","Foundation X+",NA,"93R",0.549019607843137,"#A97F6F",TRUE,93,68
"1795","KVD Vegan Beauty","True Portrait Medium Coverage Shake Foundation","Deep","094",0.268627450980392,"#5D392C",TRUE,94,57
"1796","Clinique","Stay Matte Oil-Free Makeup","Deep Neutral","WN 94",0.584313725490196,"#D38F57",NA,94,NA
"1797","Clinique","Even Better Glow Light Reflecting Makeup Broad Spectrum SPF 15","Deep Neutral","WN 94",0.527450980392157,"#BF7A4E",NA,94,NA
"1798","Natasha Denona","Transformatte Pore Vanishing Matte Foundation",NA,"94N",0.464705882352941,"#A76846",TRUE,94,67
"1799","Natasha Denona","Foundation X+","NDeep","94",0.550980392156863,"#AD836C",TRUE,94,68
"1800","Lancôme","Teint Idole Ultra Wear 24H Long Wear Foundation","Ivoire","095",0.67843137254902,"#C6B194",TRUE,95,88
"1801","Lancôme","Rénergie Lift Makeup Lightweight Liquid Foundation SPF 27","Ivoire W","095",0.774509803921569,"#DDC7AE",TRUE,95,89
"1802","ColourPop","Pretty Fresh Foundation","Medium","95N",0.686274509803922,"#CDA791",TRUE,95,65
"1803","Catrice","HD Liquid Coverage Foundation","Deep Mahogany","095",0.984313725490196,"#FBFBFB",TRUE,95,59
"1804","Natasha Denona","Face Glow Foundation","DY","95",0.311764705882353,"#614B3E",TRUE,95,84
"1805","KVD Vegan Beauty","True Portrait Medium Coverage Shake Foundation","Deep","096",0.23921568627451,"#4F352B",TRUE,96,57
"1806","Clinique","Beyond Perfecting Foundation + Concealer","Chai","WN 96",0.6,"#D7955B",NA,96,NA
"1807","Natasha Denona","Transformatte Pore Vanishing Matte Foundation",NA,"96NR",0.464705882352941,"#996354",TRUE,96,67
"1808","Natasha Denona","Foundation X+",NA,"96Nr",0.43921568627451,"#82665E",TRUE,96,68
"1809","KVD Vegan Beauty","True Portrait Medium Coverage Shake Foundation","Deep","098",0.22156862745098,"#483329",TRUE,98,57
"1810","Clinique","Stay Matte Oil-Free Makeup","Cream Caramel","WN 98",0.552941176470588,"#C88852",NA,98,NA
"1811","Clinique","Beyond Perfecting Foundation + Concealer","Cream Caramel","WN 98",0.552941176470588,"#C88852",NA,98,NA
"1812","Clinique","Even Better Glow Light Reflecting Makeup Broad Spectrum SPF 15","Cream Caramel","WN 98",0.545098039215686,"#C78A4F",NA,98,NA
"1813","Catrice","HD Liquid Coverage Foundation","Deep Mocha","098",0.223529411764706,"#493329",TRUE,98,59
"1814","L'Oréal","Infallible Pro-Matte Liquid Longwear Foundation","True Porcelain","099",0.907843137254902,"#FBE3D4",TRUE,99,90
"1815","Anastasia Beverly Hills","Luminous Foundation",NA,"100N",0.901960784313726,"#F1E7DB",TRUE,100,91
"1816","Almay","Clear Complexion Make Myself Clear Makeup","Ivory","100",0.772549019607843,"#EAC0A0",TRUE,100,92
"1817","L'Oréal","Infallible Pro-Matte Liquid Longwear Foundation","True Alabaster","100",0.909803921568627,"#FCDFD4",TRUE,100,90
"1818","Lancôme","Teint Idole Ultra Wear 24H Long Wear Foundation","Ivoire N","100",0.745098039215686,"#E3B999",TRUE,100,88
"1819","Juvia's Place","I Am Magic Foundation","Sudan","100",0.182352941176471,"#382725",FALSE,100,93
"1820","ColourPop","Pretty Fresh Foundation","Medium","100W",0.672549019607843,"#D0AC87",TRUE,100,65
"1821","Almay","Skin Perfecting Healthy Biome Makeup","Fair","100",0.72156862745098,"#DFB691",TRUE,100,94
"1822","ZOEVA","Authentik Skin Natural Luminous Foundation","CNFT","100W",0.786274509803922,"#EDC9A4",TRUE,100,78
"1823","SMITH & CULT","Veiled Threat Weightless Micro-Blurring Foundation","Neutral","100",0.905882352941176,"#F4E2DA",TRUE,100,95
"1824","FENTY BEAUTY by Rihanna","Pro Filt'r Soft Matte Powder Foundation",NA,"100",0.925490196078431,"#F9E6DF",TRUE,100,96
"1825","FENTY BEAUTY by Rihanna","Pro Filt'r Soft Matte Longwear Foundation",NA,"100",0.882352941176471,"#FFDEC3",TRUE,100,97
"1826","Rare Beauty by Selena Gomez","Liquid Touch Weightless Foundation",NA,"100W",0.862745098039216,"#F4DEC4",TRUE,100,98
"1827","FENTY BEAUTY by Rihanna","Pro Filt'r Hydrating Longwear Foundation",NA,"100",0.876470588235294,"#FDDDC2",TRUE,100,99
"1828","HUDA BEAUTY","#FauxFilter Skin Finish Buildable Coverage Foundation Stick",NA,"100B",0.907843137254902,"#FFE3D0",TRUE,100,100
"1829","HUDA BEAUTY","#FauxFilter Full Coverage Matte Foundation","Milkshake","100B",0.825490196078431,"#E8CEBD",TRUE,100,101
"1830","Bite Beauty","Changemaker Supercharged Micellar Foundation",NA,"T100",0.63921568627451,"#CA977C",TRUE,100,82
"1831","Origins","Pretty in Bloom™ SPF 20 Flower-Infused Long-Wear Foundation",NA,"100",0.770588235294118,"#E3C3A6",TRUE,100,102
"1832","L'Oréal","Infallible Pro-Matte Liquid Longwear Foundation","Classic Ivory","101",0.803921568627451,"#F7C2A3",TRUE,101,90
"1833","Dose Of Colors","Meet Your Hue Foundation","Fair","101",0.93921568627451,"#FCECE3",TRUE,101,103
"1834","L'Oréal","Infallible Pro-Matte Liquid Longwear Foundation","Ivory Buff","101.5",0.809803921568627,"#F4C9A9",TRUE,101.5,90
"1835","Maybelline","Fit Me Matte + Poreless Liquid Foundation","Fair Porcelain","102",0.956862745098039,"#FEF3EA",TRUE,102,104
"1836","L'Oréal","Infallible Pro-Matte Liquid Longwear Foundation","Shell Beige","102",0.727450980392157,"#E8A58B",TRUE,102,90
"1837","Maybelline","Super Stay Full Coverage Foundation","Fair Porcelain","102",0.880392156862745,"#EFE1D2",TRUE,102,105
"1838","Dose Of Colors","Meet Your Hue Foundation","Fair","102",0.931372549019608,"#FEEADD",TRUE,102,103
"1839","AMOREPACIFIC","Color Control Cushion Compact Broad Spectrum SPF 50+","Light Pink","102",0.782352941176471,"#E3BEAC",TRUE,102,106
"1840","L'Oréal","Infallible Pro-Matte Liquid Longwear Foundation","Natural Buff","103",0.705882352941177,"#EBA67D",TRUE,103,90
"1841","Dose Of Colors","Meet Your Hue Foundation","Fair","103",0.913725490196078,"#FCE7D6",TRUE,103,103
"1842","L'Oréal","Infallible Pro-Matte Liquid Longwear Foundation","Golden Beige","104",0.698039215686274,"#F2B072",TRUE,104,90
"1843","Dose Of Colors","Meet Your Hue Foundation","Fair","104",0.858823529411765,"#FCD9BA",TRUE,104,103
"1844","AMOREPACIFIC","Color Control Cushion Compact Broad Spectrum SPF 50+","Light/Medium Pink","104",0.731372549019608,"#DDB498",TRUE,104,106
